舰船名,别名,启用,稀有度@zh（类型：exact）,稀有度@en（类型：exact）,阵营@zh（类型：exact）,阵营@en（类型：exact）,舰种@zh（类型：exact）,舰种@en（类型：exact）,舰级@zh（类型：exact）,舰级@en（类型：exact）,建造时间@zh（类型：ordered）,实装活动@zh（类型：ordered）,实装活动@en（类型：ordered）
小斯佩,小休贝塔、Little Spee,是,精锐,Elite,铁血,Iron Blood,重巡,CA,德意志级,Deutschland,无法建造,2022-10-13 勇者的旅途,2022-10-13 The Pursuit of Little Spee
腓特烈·卡尔,腓德雷卡·卡尔、Friedrich Carl,是,超稀有,Super Rare,铁血,Iron Blood,重巡,CA,P级,P,02:05:00,2024-03-28 从零开始的魔王讨伐之旅,2024-03-28 From Zero to Hero
欧根亲王(μ兵装),萨沃伊亲王(μ兵装)、Prinz Eugen、Prinz Eugen µ,是,超稀有,Super Rare,铁血,Iron Blood,重巡,CA,希佩尔海军上将级,Admiral Hipper,02:00:00,2024-04-25 共鸣的PASSION,2024-04-25 Heart-Linking Harmony
小埃吉尔,小埃格妮丝、Little Ägir,是,精锐,Elite,铁血,Iron Blood,超巡,CB,超重型,Ägir,无法建造,2025-05-29 “深渊之国”的缔造者,2025-05-29 Little Ruler of the Abyssal Kingdom
沙恩霍斯特,格尔林德、Scharnhorst,是,精锐,Elite,铁血,Iron Blood,战巡,BC,沙恩霍斯特级,Scharnhorst,无法建造,2017-08-02 异色格,2017-08-02 Divergent Chessboard
格奈森瑙,奥古斯塔、Gneisenau,是,精锐,Elite,铁血,Iron Blood,战巡,BC,沙恩霍斯特级,Scharnhorst,无法建造,2017-08-02 异色格,2017-08-02 Divergent Chessboard
塞德利茨,桑德菈、Seydlitz,是,超稀有,Super Rare,铁血,Iron Blood,战巡,BC,塞德利茨级,Seydlitz,04:35:00,2022-04-28 虹彩的终幕曲,2022-04-28 Rondo at Rainbow's End
吕佐夫,露西、Lützow,是,超稀有,Super Rare,铁血,Iron Blood,战巡,BC,德弗林格尔级,Derfflinger,04:35:00,2022-04-28 虹彩的终幕曲,2022-04-28 Rondo at Rainbow's End
布伦希尔德,贝尔莎、Brünhilde,是,超稀有,Super Rare,铁血,Iron Blood,战巡,BC,O级,O,05:05:00,2022-08-18 远汇点作战,2022-08-18 Operation Convergence
亚尔薇特,Alvitr,是,超稀有,Super Rare,铁血,Iron Blood,战巡,BC,O级,O,05:05:00,2024-06-27 欢迎来到童心学院,2024-06-27 Welcome to Little Academy
曾克海军上将,泽特、Admiral Zenker,是,超稀有,Super Rare,铁血,Iron Blood,战巡,BC,曾克海军上将级,Admiral Zenker,04:55:00,2025-06-26 迷彩都市的寻踪者,2025-06-26 The Neon City Investigator
俾斯麦,奥德莉亚、Bismarck,是,超稀有,Super Rare,铁血,Iron Blood,战列,BB,俾斯麦级,Bismarck,06:00:00,2019-05-23 铁血、音符&誓言,2019-05-23 Scherzo of Iron and Blood
提尔比茨,阿尔芙莉达、Tirpitz,是,超稀有,Super Rare,铁血,Iron Blood,战列,BB,俾斯麦级,Bismarck,无法建造,2017-08-02 异色格,2017-08-02 Divergent Chessboard
乌尔里希·冯·胡滕,乌尔里克·冯·胡贝尔、Ulrich von Hutten,是,海上传奇,Ultra Rare,铁血,Iron Blood,战列,BB,乌尔里希·冯·胡滕级,Ulrich von Hutten,06:00:00,2021-12-29 逆转彩虹之塔,2021-12-29 Tower of Transcendence
图林根,特鲁德、Thüringen,是,精锐,Elite,铁血,Iron Blood,战列,BB,赫尔戈兰级,Helgoland,无法建造,2022-04-28 虹彩的终幕曲,2022-04-28 Rondo at Rainbow's End
俾斯麦Zwei,奥德莉亚Zwei、Bismarck Zwei,是,海上传奇,Ultra Rare,铁血,Iron Blood,战列,BB,俾斯麦级,Bismarck,06:00:00,2023-05-25 空相交汇点,2023-05-25 Confluence of Nothingness
小腓特烈,小腓德雷卡、Little Friedrich,是,精锐,Elite,铁血,Iron Blood,战列,BB,腓特烈大帝级,Friedrich der Große,无法建造,2024-05-30 今日的指挥练习,2024-05-30 Today's Conduction Practice
威悉,威尔玛、Weser,是,精锐,Elite,铁血,Iron Blood,轻航,CVL,希佩尔海军上将级,Weser,02:22:00,2020-12-29 负象限作战,2020-12-29 Inverted Orthant
易北,埃尔斯贝特、Elbe,是,精锐,Elite,铁血,Iron Blood,轻航,CVL,亚德级,Jade,02:20:00,2021-12-29 逆转彩虹之塔,2021-12-29 Tower of Transcendence
亚德,阿黛尔、Jade,是,精锐,Elite,铁血,Iron Blood,轻航,CVL,亚德级,Jade,无法建造,2023-05-25 空相交汇点,2023-05-25 Confluence of Nothingness
齐柏林伯爵,海拉伯爵、Graf Zeppelin,是,超稀有,Super Rare,铁血,Iron Blood,航母,CV,齐柏林伯爵级,Graf Zeppelin,04:35:00,2017-08-02 异色格,2017-08-02 Divergent Chessboard
小齐柏林,小海拉、Zeppy,是,精锐,Elite,铁血,Iron Blood,航母,CV,齐柏林伯爵级,Graf Zeppelin,04:30:00,2019-04-26 虚拟链接的共时性,2019-04-26 Escape from the Port
彼得·史特拉塞,佩特菈·斯坦贝瑟、Peter Strasser,是,超稀有,Super Rare,铁血,Iron Blood,航母,CV,齐柏林伯爵级,Graf Zeppelin,04:35:00,2020-12-29 负象限作战,2020-12-29 Inverted Orthant
弗里茨·鲁梅,菲莉西娅·鲁梅、Fritz Rumey,是,海上传奇,Ultra Rare,铁血,Iron Blood,航母,CV,弗里茨·鲁梅级,Fritz Rumey,04:40:20,2024-12-19 星光下的余晖,2024-12-19 Substellar Crepuscule
U-81,优哈依,是,超稀有,Super Rare,铁血,Iron Blood,潜艇,SS,VIIC型,Type VIIC,00:12:00,无活动,No Event
U-47,优希娜,是,超稀有,Super Rare,铁血,Iron Blood,潜艇,SS,VIIB型,Type VIIB,00:11:00,2018-06-28 复刻：异色格,2018-06-28 Divergent Chessboard Rerun
U-557,优可可娜,是,精锐,Elite,铁血,Iron Blood,潜艇,SS,VIIC型,Type VIIC,无法建造,2018-06-28 复刻：异色格,2018-06-28 Divergent Chessboard Rerun
U-556,优可可洛,是,精锐,Elite,铁血,Iron Blood,潜艇,SS,VIIC型,Type VIIC,00:13:00,2019-05-23 铁血、音符&誓言,2019-05-23 Scherzo of Iron and Blood
U-73,优娜米,是,精锐,Elite,铁血,Iron Blood,潜艇,SS,VIIB型,Type VIIB,00:11:00,2019-05-23 铁血、音符&誓言,2019-05-23 Scherzo of Iron and Blood
U-101,优伊欧伊,是,超稀有,Super Rare,铁血,Iron Blood,潜艇,SS,VIIB型,Type VIIB,00:12:00,2019-07-11 破交作战,2019-07-11 Air Raid Drills with Essex
U-522,优柯妮妮,是,精锐,Elite,铁血,Iron Blood,潜艇,SS,IXC型,Type IXC,00:11:00,2019-07-11 破交作战,2019-07-11 Air Raid Drills with Essex
U-110,优伊伊丽,是,精锐,Elite,铁血,Iron Blood,潜艇,SS,IXB型,Type IXB,00:11:00,2019-10-17 最珍贵的宝物,2019-10-17 The Enigma and the Shark
U-96,优玖露,是,超稀有,Super Rare,铁血,Iron Blood,潜艇,SS,VIIC型,Type VIIC,00:12:00,2020-08-20 复刻：铁血、音符&誓言,2020-08-20 Scherzo of Iron and Blood Rerun
U-37,优米娜,是,超稀有,Super Rare,铁血,Iron Blood,潜艇,SS,IXA型,Type IXA,00:11:00,2020-12-29 负象限作战,2020-12-29 Inverted Orthant
U-410,优斯伊丽,是,精锐,Elite,铁血,Iron Blood,潜艇,SS,VIIC型,Type VIIC,无法建造,2021-02-04 东煌春节,2021-02-04 Spring Festival Special Training
U-1206,优伊妮欧露,是,精锐,Elite,铁血,Iron Blood,潜艇,SS,VIIC型,Type VIIC,无法建造,2021-12-29 逆转彩虹之塔,2021-12-29 Tower of Transcendence
U-31,优咪伊,是,精锐,Elite,铁血,Iron Blood,潜艇,SS,VIIA型,Type VIIA,00:11:00,2024-06-27 欢迎来到童心学院,2024-06-27 Welcome to Little Academy
U-552,优可可妮,是,超稀有,Super Rare,铁血,Iron Blood,潜艇,SS,VIIC型,Type VIIC,00:13:00,2025-06-26 迷彩都市的寻踪者,2025-06-26 The Neon City Investigator
罗恩,艾伯塔、Roon,是,最高方案,Priority,铁血,Iron Blood,重巡,CA,罗恩(μ兵装)级,Roon,科研,2018-04-26 第十二章-马里亚纳风云•上,2018-04-26 Season 1
腓特烈大帝,腓德雷卡大帝、Friedrich der Große,是,决战方案,Decisive,铁血,Iron Blood,战列,BB,腓特烈大帝级,Friedrich der Große,科研,2019-04-18 开发船坞,2019-04-18 Season 2
美因茨,米兹、Mainz,是,最高方案,Priority,铁血,Iron Blood,轻巡,CL,美因茨级,Mainz,科研,2020-07-09 开发船坞,2020-07-09 Season 3
奥丁,沃登、Odin,是,最高方案,Priority,铁血,Iron Blood,战巡,BC,奥丁级,Odin,科研,2020-07-09 开发船坞,2020-07-09 Season 3
埃吉尔,埃格妮丝、Ägir,是,决战方案,Decisive,铁血,Iron Blood,超巡,CB,超重型,Ägir,科研,2021-07-08 开发船坞,2021-07-08 Season 4
奥古斯特·冯·帕塞瓦尔,奥斯特雷德·冯·帕赫贝尔、August von Parseval,是,最高方案,Priority,铁血,Iron Blood,航母,CV,齐柏林伯爵级,August von Parseval,科研,2021-07-08 开发船坞,2021-07-08 Season 4
鲁普雷希特亲王,蕾贝卡亲王、Prinz Rupprecht,是,最高方案,Priority,铁血,Iron Blood,战巡,BC,鲁普雷希特亲王级,Prinz Rupprecht,科研,2022-07-14 轻量化复刻：蝶海梦花,2022-07-14 Season 5
菲利克斯·舒尔茨,弗郎西斯卡·舒伯特、Felix Schultz,是,最高方案,Priority,铁血,Iron Blood,驱逐,DD,1938A型,Felix Schultz,科研,2023-07-13 密语档案室,2023-07-13 Season 6
兴登堡,希尔德加德、Hindenburg,是,决战方案,Decisive,铁血,Iron Blood,重巡,CA,兴登堡级,Hindenburg,科研,2023-07-13 密语档案室,2023-07-13 Season 6
梅克伦堡,梅克琳达、Mecklenburg,是,决战方案,Decisive,铁血,Iron Blood,战列,BB,305mm主炮改型,Mecklenburg,科研,2025-07-10 开发船坞,2025-07-10 Season 8
鞍山,An Shan,是,精锐,Elite,东煌,Dragon Empery,驱逐,DD,鞍山级,Anshan,无法建造,2018-02-12 抚顺的大冒险,2018-02-12 Lunar New Year 2019
抚顺,Fu Shun,是,精锐,Elite,东煌,Dragon Empery,驱逐,DD,鞍山级,Anshan,无法建造,2018-02-12 抚顺的大冒险,2018-02-12 Lunar New Year 2019
长春,Chang Chun,是,精锐,Elite,东煌,Dragon Empery,驱逐,DD,鞍山级,Anshan,无法建造,2018-02-12 抚顺的大冒险,2018-02-12 Lunar New Year 2019
太原,Tai Yuan,是,精锐,Elite,东煌,Dragon Empery,驱逐,DD,鞍山级,Anshan,无法建造,2018-02-12 抚顺的大冒险,2018-02-12 Lunar New Year 2019
龙武,Lung Wu,是,精锐,Elite,东煌,Dragon Empery,驱逐,DD,龙武级,Lung Wu,00:33:00,2024-01-30 寰昌宇定家事忙,2024-01-30 Happy Lunar New Year 2024
虎贲,Hu Pen,是,精锐,Elite,东煌,Dragon Empery,驱逐,DD,龙武级,Lung Wu,00:33:00,2024-01-30 寰昌宇定家事忙,2024-01-30 Happy Lunar New Year 2024
飞云,Fei Yuen,是,精锐,Elite,东煌,Dragon Empery,驱逐,DD,长风级,Fei Yuen,无法建造,2024-01-30 寰昌宇定家事忙,2024-01-30 Happy Lunar New Year 2024
长风,Ch'ang Feng、Chang Feng,是,精锐,Elite,东煌,Dragon Empery,驱逐,DD,长风级,Fei Yuen,00:33:00,2025-01-16 华裳巧展喜事长,2025-01-16 Happy Lunar New Year 2025
伏波,Fu Po,是,精锐,Elite,东煌,Dragon Empery,驱逐,DD,长风级,Fei Yuen,无法建造,2025-01-16 华裳巧展喜事长,2025-01-16 Happy Lunar New Year 2025
逸仙,Yat Sen,是,精锐,Elite,东煌,Dragon Empery,轻巡,CL,逸仙级,Yat Sen,00:40:00,2017-09-20 第九章-库拉湾海战,2017-09-20 Lunar New Year 2019
宁海,Ning Hai,是,精锐,Elite,东煌,Dragon Empery,轻巡,CL,宁海级,Ning Hai,无法建造,无活动,No Event
平海,Ping Hai,是,精锐,Elite,东煌,Dragon Empery,轻巡,CL,宁海级,Ning Hai,无法建造,无活动,No Event
应瑞,Ying Swei,是,精锐,Elite,东煌,Dragon Empery,轻巡,CL,肇和级,Chao Ho,00:38:00,2021-02-04 东煌春节,2021-02-04 Happy Lunar New Year 2021
肇和,Chao Ho,是,精锐,Elite,东煌,Dragon Empery,轻巡,CL,肇和级,Chao Ho,00:38:00,2021-02-04 东煌春节,2021-02-04 Happy Lunar New Year 2021
海天,Hai Tien,是,精锐,Elite,东煌,Dragon Empery,轻巡,CL,海天级,Hai Chi,无法建造,2022-01-27 演习神秘事件调查,2022-01-27 Happy Lunar New Year 2022
海圻,Hai Chi,是,精锐,Elite,东煌,Dragon Empery,轻巡,CL,海天级,Hai Chi,无法建造,2022-01-27 演习神秘事件调查,2022-01-27 Happy Lunar New Year 2022
济安,Chi An,是,精锐,Elite,东煌,Dragon Empery,轻巡,CL,济安级,Chi An,00:38:00,2024-01-30 寰昌宇定家事忙,2024-01-30 Happy Lunar New Year 2024
海容,Hai Yung,是,精锐,Elite,东煌,Dragon Empery,轻巡,CL,海容级,Hai Yung,00:40:00,2025-01-16 华裳巧展喜事长,2025-01-16 Happy Lunar New Year 2025
建武,Chien Wu,是,超稀有,Super Rare,东煌,Dragon Empery,重巡,CA,建武级,Chien Wu,01:30:00,2025-01-16 华裳巧展喜事长,2025-01-16 Happy Lunar New Year 2025
寰昌,Huan Ch'ang,是,超稀有,Super Rare,东煌,Dragon Empery,战巡,BC,寰昌级,Huan Ch'ang,04:10:00,2024-01-30 寰昌宇定家事忙,2024-01-30 Happy Lunar New Year 2024
镇海,Chen Hai,是,精锐,Elite,东煌,Dragon Empery,轻航,CVL,镇海级,Chen Hai,02:00:00,2022-01-27 演习神秘事件调查,2022-01-27 Happy Lunar New Year 2022
华甲,Hwah Jah,是,精锐,Elite,东煌,Dragon Empery,轻航,CVL,华甲级,Hwah Jah,02:10:00,2023-01-18 冬日的寻路人,2023-01-18 Happy Lunar New Year 2023
定安,Ting An,是,精锐,Elite,东煌,Dragon Empery,运输,AE,定安级,Ting An,无法建造,2023-01-18 冬日的寻路人,2023-01-18 Happy Lunar New Year 2023
哈尔滨,滨江、Harbin,是,最高方案,Priority,东煌,Dragon Empery,轻巡,CL,哈尔滨级,Harbin,科研,2022-07-14 轻量化复刻：蝶海梦花,2022-07-14 Season 5
龙骑兵,Carabiniere,是,精锐,Elite,撒丁帝国,Sardegna Empire,驱逐,DD,索尔达蒂级,Soldati,无法建造,2019-09-11 神圣的悲喜剧,2019-09-11 Empyreal Tragicomedy
文琴佐·焦贝蒂,Vincenzo Gioberti,是,精锐,Elite,撒丁帝国,Sardegna Empire,驱逐,DD,诗人级,Alfredo Oriani,00:32:00,2021-01-21 复刻：神圣的悲喜剧,2021-01-21 Empyreal Tragicomedy Rerun
西北风,Maestrale,是,精锐,Elite,撒丁帝国,Sardegna Empire,驱逐,DD,西北风级,Maestrale,00:30:40,2021-04-22 复兴的赞美诗,2021-04-22 Daedalian Hymn
西南风,Libeccio,是,精锐,Elite,撒丁帝国,Sardegna Empire,驱逐,DD,西北风级,Maestrale,00:30:40,2021-04-22 复兴的赞美诗,2021-04-22 Daedalian Hymn
尼科洛索·达雷科,Nicoloso da Recco,是,精锐,Elite,撒丁帝国,Sardegna Empire,驱逐,DD,航海家级,Navigatori,00:29:40,2021-04-22 复兴的赞美诗,2021-04-22 Daedalian Hymn
庞培·马格诺,Pompeo Magno,是,超稀有,Super Rare,撒丁帝国,Sardegna Empire,驱逐,DD,罗马统帅级,Capitani Romani,00:32:00,2022-03-24 虚像构筑之塔·序章,2022-03-24 Virtual Tower
阿尔弗雷多·奥里亚尼,Alfredo Oriani,是,精锐,Elite,撒丁帝国,Sardegna Empire,驱逐,DD,诗人级,Alfredo Oriani,00:32:00,2022-07-28 雄鹰的叙事歌,2022-07-28 Aquilifer's Ballade
埃曼努埃尔·佩萨格诺,Emanuele Pessagno,是,精锐,Elite,撒丁帝国,Sardegna Empire,驱逐,DD,航海家级,Navigatori,无法建造,2022-07-28 雄鹰的叙事歌,2022-07-28 Aquilifer's Ballade
阿蒂利奥·雷戈洛,Attilio Regolo,是,超稀有,Super Rare,撒丁帝国,Sardegna Empire,驱逐,DD,罗马统帅级,Capitani Romani,00:32:00,2023-06-29 绿洲往事,2023-06-29 Reflections of the Oasis
焦苏埃·卡尔杜齐,Giosuè Carducci,是,精锐,Elite,撒丁帝国,Sardegna Empire,驱逐,DD,诗人级,Alfredo Oriani,无法建造,2025-02-27 樊笼内的神光,2025-02-27 Paradiso of Shackled Light
阿布鲁齐公爵,Duca degli Abruzzi,是,超稀有,Super Rare,撒丁帝国,Sardegna Empire,轻巡,CL,佣兵队长级,Duca degli Abruzzi,01:26:00,2021-04-22 复兴的赞美诗,2021-04-22 Daedalian Hymn
朱塞佩·加里波第,Giuseppe Garibaldi,是,超稀有,Super Rare,撒丁帝国,Sardegna Empire,轻巡,CL,佣兵队长级,Duca degli Abruzzi,01:26:00,2022-07-28 雄鹰的叙事歌,2022-07-28 Aquilifer's Ballade
巴托洛梅奥·科莱奥尼,Bartolomeo Colleoni,是,精锐,Elite,撒丁帝国,Sardegna Empire,轻巡,CL,佣兵队长级,Giussano,01:26:00,2025-02-27 樊笼内的神光,2025-02-27 Paradiso of Shackled Light
特伦托,Trento,是,稀有,Rare,撒丁帝国,Sardegna Empire,重巡,CA,特伦托级,Trento,无法建造,2019-09-11 神圣的悲喜剧,2019-09-11 Empyreal Tragicomedy
扎拉,扎达尔、Zara,是,超稀有,Super Rare,撒丁帝国,Sardegna Empire,重巡,CA,扎拉级,Zara,01:55:00,2019-09-11 神圣的悲喜剧,2019-09-11 Empyreal Tragicomedy
波拉,Pola,是,超稀有,Super Rare,撒丁帝国,Sardegna Empire,重巡,CA,扎拉级,Zara,01:55:00,2021-01-21 复刻：神圣的悲喜剧,2021-01-21 Empyreal Tragicomedy Rerun
的里雅斯特,Trieste,是,精锐,Elite,撒丁帝国,Sardegna Empire,重巡,CA,特伦托级,Trento,01:54:00,2022-03-24 虚像构筑之塔·序章,2022-03-24 Virtual Tower
博尔扎诺,Bolzano,是,精锐,Elite,撒丁帝国,Sardegna Empire,重巡,CA,博尔扎诺级,Bolzano,01:54:00,2022-07-28 雄鹰的叙事歌,2022-07-28 Aquilifer's Ballade
戈里齐亚,Gorizia,是,超稀有,Super Rare,撒丁帝国,Sardegna Empire,重巡,CA,扎拉级,Zara,01:55:00,2023-06-29 绿洲往事,2023-06-29 Reflections of the Oasis
维托里奥·维内托,Vittorio Veneto,是,超稀有,Super Rare,撒丁帝国,Sardegna Empire,战列,BB,维托里奥·维内托级,Vittorio Veneto,05:15:00,2021-04-22 复兴的赞美诗,2021-04-22 Daedalian Hymn
利托里奥,Littorio,是,超稀有,Super Rare,撒丁帝国,Sardegna Empire,战列,BB,维托里奥·维内托级,Vittorio Veneto,05:15:00,2019-09-11 神圣的悲喜剧,2019-09-11 Empyreal Tragicomedy
罗马,Roma,是,超稀有,Super Rare,撒丁帝国,Sardegna Empire,战列,BB,维托里奥·维内托级,Vittorio Veneto,05:15:00,2022-07-28 雄鹰的叙事歌,2022-07-28 Aquilifer's Ballade
加富尔伯爵,Conte di Cavour,是,稀有,Rare,撒丁帝国,Sardegna Empire,战列,BB,加富尔伯爵级,Conte di Cavour,无法建造,2019-09-11 神圣的悲喜剧,2019-09-11 Empyreal Tragicomedy
朱利奥·凯撒,Giulio Cesare,是,精锐,Elite,撒丁帝国,Sardegna Empire,战列,BB,加富尔伯爵级,Conte di Cavour,04:15:00,2019-09-11 神圣的悲喜剧,2019-09-11 Empyreal Tragicomedy
安德烈亚·多利亚,Andrea Doria,是,精锐,Elite,撒丁帝国,Sardegna Empire,战列,BB,安德烈亚·多利亚级,Andrea Doria,04:15:00,2023-06-29 绿洲往事,2023-06-29 Reflections of the Oasis
拉斐尔,Raffaello,是,海上传奇,Ultra Rare,撒丁帝国,Sardegna Empire,战列,BB,拉斐尔级,Raffaello,05:40:10,2025-02-27 樊笼内的神光,2025-02-27 Paradiso of Shackled Light
天鹰,Aquila,是,超稀有,Super Rare,撒丁帝国,Sardegna Empire,航母,CV,天鹰级,Aquila,04:35:00,2021-04-22 复兴的赞美诗,2021-04-22 Daedalian Hymn
帝国,Impero,是,超稀有,Super Rare,撒丁帝国,Sardegna Empire,航母,CV,维托里奥·维内托级,Vittorio Veneto,05:15:00,2022-03-24 虚像构筑之塔·序章,2022-03-24 Virtual Tower
托里拆利,Torricelli,是,精锐,Elite,撒丁帝国,Sardegna Empire,潜艇,SS,布林级,Brin,无法建造,2021-04-22 复兴的赞美诗,2021-04-22 Daedalian Hymn
莱昂纳多·达·芬奇,Leonardo Da Vinci、Leonardo da Vinci,是,超稀有,Super Rare,撒丁帝国,Sardegna Empire,潜艇,SS,马可尼级,Marconi,00:12:00,2022-07-28 雄鹰的叙事歌,2022-07-28 Aquilifer's Ballade
巴拉卡少校,Maggiore Baracca,是,超稀有,Super Rare,撒丁帝国,Sardegna Empire,潜艇,SS,马可尼级,Marconi,00:12:00,2025-02-27 樊笼内的神光,2025-02-27 Paradiso of Shackled Light
马可·波罗,Marco Polo,是,最高方案,Priority,撒丁帝国,Sardegna Empire,战列,BB,马可·波罗级,Marco Polo,科研,2021-07-08 开发船坞,2021-07-08 Season 4
那不勒斯,Napoli,是,决战方案,Decisive,撒丁帝国,Sardegna Empire,重巡,CA,那不勒斯级,Napoli,科研,2024-07-11 开发船坞,2024-07-11 Season 7
维托里奥·库尼贝尔蒂,Vittorio Cuniberti,是,最高方案,Priority,撒丁帝国,Sardegna Empire,驱逐,DD,西北风级,Vittorio Cuniberti,科研,2025-07-10 开发船坞,2025-07-10 Season 8
威严,Grozny,是,精锐,Elite,北方联合,Northern Parliament,驱逐,DD,愤怒级,Gnevny,00:32:00,2020-02-27 北境序曲,2020-02-27 Northern Overture
明斯克,Minsk,是,精锐,Elite,北方联合,Northern Parliament,驱逐,DD,明斯克级,Leningrad,无法建造,2020-02-27 北境序曲,2020-02-27 Northern Overture
塔什干,Tashkent,是,超稀有,Super Rare,北方联合,Northern Parliament,驱逐,DD,20-I型,Tashkent,00:42:00,2020-02-27 北境序曲,2020-02-27 Northern Overture
塔什干(μ兵装),Tashkent、Tashkent µ,是,超稀有,Super Rare,北方联合,Northern Parliament,驱逐,DD,20-I型,Tashkent,00:42:00,2020-10-29 激唱的UNIVERSE,2020-10-29 Universe in Unison
神速,Stremitelny,是,精锐,Elite,北方联合,Northern Parliament,驱逐,DD,愤怒级,Gnevny,00:32:00,无活动,No Event
雷鸣,Gremyashchy,是,精锐,Elite,北方联合,Northern Parliament,驱逐,DD,愤怒级,Gnevny,00:32:00,2021-02-25 破晓冰华,2021-02-25 Khorovod of Dawn's Rime
洪亮,Gromky,是,精锐,Elite,北方联合,Northern Parliament,驱逐,DD,愤怒级,Gnevny,无法建造,2021-02-25 破晓冰华,2021-02-25 Khorovod of Dawn's Rime
灵敏,Soobrazitelny,是,精锐,Elite,北方联合,Northern Parliament,驱逐,DD,前哨级,Storozhevoy,无法建造,2022-02-24 深度回音,2022-02-24 Abyssal Refrain
基辅,Kiev,是,超稀有,Super Rare,北方联合,Northern Parliament,驱逐,DD,基辅级,Kiev,00:42:00,2022-02-24 深度回音,2022-02-24 Abyssal Refrain
火力,Ognevoy,是,超稀有,Super Rare,北方联合,Northern Parliament,驱逐,DD,火力级,Ognevoy,00:41:00,2024-02-29 雪境迷踪,2024-02-29 Snowrealm Peregrination
凶猛,Svirepy,是,精锐,Elite,北方联合,Northern Parliament,驱逐,DD,前哨级,Storozhevoy,无法建造,2024-02-29 雪境迷踪,2024-02-29 Snowrealm Peregrination
阿芙乐尔,Avrora,是,超稀有,Super Rare,北方联合,Northern Parliament,轻巡,CL,帕拉达级,Pallada,01:17:00,2017-05-25,2017-05-25 Northern Overture
水星纪念,Pamiat' Merkuria,是,精锐,Elite,北方联合,Northern Parliament,轻巡,CL,博加特里级,Bogatyr,01:17:00,2020-02-27 北境序曲,2020-02-27 Northern Overture
恰巴耶夫,Chapayev,是,超稀有,Super Rare,北方联合,Northern Parliament,轻巡,CL,恰巴耶夫级,Chapayev,01:26:00,2020-02-27 北境序曲,2020-02-27 Northern Overture
基洛夫,Kirov,是,超稀有,Super Rare,北方联合,Northern Parliament,轻巡,CL,基洛夫级,Kirov,01:32:00,2021-02-25 破晓冰华,2021-02-25 Khorovod of Dawn's Rime
古比雪夫,Kuybyshev,是,超稀有,Super Rare,北方联合,Northern Parliament,轻巡,CL,恰巴耶夫级,Chapayev,01:26:00,2023-01-18 冬日的寻路人,2023-01-18 Happy Lunar New Year 2023
摩尔曼斯克,Murmansk,是,精锐,Elite,北方联合,Northern Parliament,轻巡,CL,奥马哈级,Omaha,01:05:00,2021-02-25 破晓冰华,2021-02-25 Khorovod of Dawn's Rime
伏罗希洛夫,Voroshilov,是,超稀有,Super Rare,北方联合,Northern Parliament,轻巡,CL,基洛夫级,Kirov,01:32:00,2023-03-23 极地风暴,2023-03-23 Frostfall
奥列格,Oleg,是,精锐,Elite,北方联合,Northern Parliament,轻巡,CL,博加特里级,Bogatyr,无法建造,2025-04-24 扬起郁金之旗,2025-04-24 Toward Tulipa's Seas
塔林,Tallinn,是,超稀有,Super Rare,北方联合,Northern Parliament,重巡,CA,希佩尔海军上将级,Admiral Hipper,02:00:00,2021-02-25 破晓冰华,2021-02-25 Khorovod of Dawn's Rime
库尔斯克,Kursk,是,超稀有,Super Rare,北方联合,Northern Parliament,重巡,CA,库尔斯克级,Kursk,02:05:00,2023-03-23 极地风暴,2023-03-23 Frostfall
甘古特,Gangut,是,精锐,Elite,北方联合,Northern Parliament,战列,BB,甘古特级,Gangut,无法建造,2020-02-27 北境序曲,2020-02-27 Northern Overture
苏维埃同盟,苏维埃萨尤斯、Sovetsky Soyuz,是,海上传奇,Ultra Rare,北方联合,Northern Parliament,战列,BB,苏维埃同盟级,Sovetsky Soyuz,06:23:00,2024-02-29 雪境迷踪,2024-02-29 Snowrealm Peregrination
苏维埃贝拉罗斯,Sovetskaya Belorussiya,是,超稀有,Super Rare,北方联合,Northern Parliament,战列,BB,苏维埃同盟级,Sovetsky Soyuz,06:23:00,2021-02-25 破晓冰华,2021-02-25 Khorovod of Dawn's Rime
苏维埃罗西亚,Sovetskaya Rossiya,是,超稀有,Super Rare,北方联合,Northern Parliament,战列,BB,苏维埃同盟级,Sovetsky Soyuz,06:23:00,2020-02-27 北境序曲,2020-02-27 Northern Overture
阿尔汉格尔斯克,Arkhangelsk,是,精锐,Elite,北方联合,Northern Parliament,战列,BB,复仇级,Revenge,04:10:00,2022-02-24 深度回音,2022-02-24 Abyssal Refrain
塞瓦斯托波尔,Sevastopol,是,精锐,Elite,北方联合,Northern Parliament,战列,BB,甘古特级,Gangut,03:40:00,2023-03-23 极地风暴,2023-03-23 Frostfall
波尔塔瓦,Poltava,是,精锐,Elite,北方联合,Northern Parliament,战列,BB,甘古特级,Gangut,03:40:00,2024-02-29 雪境迷踪,2024-02-29 Snowrealm Peregrination
喀山,Kazan,是,超稀有,Super Rare,北方联合,Northern Parliament,战列,BB,21型,Kazan,05:50:00,2025-04-24 扬起郁金之旗,2025-04-24 Toward Tulipa's Seas
伏尔加,Volga,是,超稀有,Super Rare,北方联合,Northern Parliament,航母,CV,72型,Volga,04:47:53,2022-02-24 深度回音,2022-02-24 Abyssal Refrain
